countryiso3code,date,value
DEU,2023,-0.299982370948115
DEU,2022,3.05510114313672
DEU,2021,9.97999976123521
DEU,2020,-9.48587961746753
DEU,2019,1.90001822057837
DEU,2018,2.4860570184622
DEU,2017,4.10352289064086
DEU,2016,1.98715434983691
DEU,2015,4.87317087569015
DEU,2014,4.34925912639528
DEU,2013,0.474508257767042
DEU,2012,2.58093758970399
DEU,2011,7.9027723317794
DEU,2010,14.1045299957614
DEU,2009,-14.501906556922
DEU,2008,1.54888701848552
DEU,2007,8.56542223965629
DEU,2006,11.9411769854729
DEU,2005,6.54967111549895
DEU,2004,11.1265885388813
DEU,2003,1.64601785168745
DEU,2002,4.0132549720646
DEU,2001,5.47572789980364
DEU,2000,13.5611904359483
DEU,1999,5.07414324299171
DEU,1998,7.52366754153377
DEU,1997,12.1229054080716
DEU,1996,5.76070761793044
DEU,1995,6.48002456883523
DEU,1994,7.76271292921776
DEU,1993,-7.61039794147894
DEU,1992,-0.343321761950605
DEU,1991,11.0247575728266
DEU,1990,11.3487466981268
DEU,1989,10.279481460143
DEU,1988,5.66119129829343
DEU,1987,0.740096630012658
DEU,1986,-1.1901337625679
DEU,1985,7.4576264069466
DEU,1984,8.85608713043476
DEU,1983,-0.500667525380379
DEU,1982,3.70370688803064
DEU,1981,7.21840702456464
DEU,1980,5.45988157286965
DEU,1979,4.97124281075128
DEU,1978,2.76545966215316
DEU,1977,3.99561085504504
DEU,1976,10.2905571732487
DEU,1975,-6.1363638660801
DEU,1974,11.7886170457366
